x,y,z,target
7.379890225972465,7.451184112987733,-6.9716399908918305,1
2.6380739153584347,7.948726038922486,3.356414551253045,6
-5.451222663800103,5.939289500535381,8.861959151918791,4
0.9898926645572301,-3.2979496927473044,-3.0929052071977887,7
-10.23610451305619,-7.8030123209364115,-5.913207038721612,5
5.962941635733596,2.7564341019222063,-6.685930854390114,2
5.010183289578357,13.286472239323396,-5.501112679064277,0
2.072497734968456,7.653449734934484,3.8909643226263917,6
7.501906652912788,7.434700487417732,-7.945744120031996,1
-6.571709045956853,7.020080366219448,7.845019142711567,4
-5.647127088428944,6.210653496209556,9.463458771423143,4
4.548398157820093,13.140870222452694,-6.008492260620586,0
1.6958887252328532,7.847536245775578,3.7730006366225712,6
6.792533974793464,2.998493224382158,-6.573598912423968,2
-6.200869586105277,6.986667027424913,8.451143691962386,4
6.98607976718696,7.149584955210368,-7.6642446522556495,1
-5.403449015679118,5.505907174654426,9.39162105850536,4
7.267573022055841,3.7246776222097573,-6.093799881170954,2
6.849206212669447,4.988132382219419,-6.875007624818631,2
1.9834005051298935,-3.7061161185473375,-3.093339900044348,7
7.160969848903642,3.545314856743384,-6.17974744226536,2
6.675186252954674,2.9071024963855536,-6.309928618959907,2
-5.0759446440319715,6.639105557559685,8.791098837923933,4
-8.31620230798063,-7.95630475758652,-5.255169675969248,5
4.763690090521906,12.807071328076024,-4.856177378141712,0
1.7879076656609354,7.344797495638909,4.83250923993608,6
5.631187642042515,-7.233190939399325,-4.006172843285392,3
-8.334243522029016,-9.184572874883637,-6.398581153040882,5
5.267224342991441,12.818934773384907,-5.733322549017252,0
5.865250440505258,-7.349633097863439,-3.8240663987245145,3
4.790022656614407,12.941921632010255,-3.4081780776731323,0
6.139026522133975,2.982824001742823,-6.646421286942113,2
6.643925521947663,7.03635545582296,-7.802778104379335,1
4.802933608501096,12.391323557284975,-6.326931103727845,0
0.332227461040534,-2.197444942344892,-1.993248832259836,7
0.37695460041169615,-3.6802837623524525,-4.482901873197727,7
1.8273248358450318,6.680426875094151,3.816902966965036,6
6.230882707526918,13.574203759236035,-5.756434018445264,0
7.4054221440126815,3.667397708785831,-5.4981346338244546,2
6.238552406153932,7.551183218652681,-7.243706604607086,1
2.6001066000215562,9.324183944770505,3.9276414723559374,6
-5.881733073880805,5.3823139100429245,9.021317936591391,4
-5.388318475121901,5.990055716306151,8.64092096393694,4
1.9924452164272388,-4.5534670250483344,-2.9156510600927055,7
6.1796472010346495,7.168432103466435,-7.958320415837573,1
1.2533585930043083,-4.378567555438391,-3.343828679010864,7
1.4018612644758763,-5.269972192923883,-4.1149554596638875,7
-9.58877866205705,-9.309104002293298,-6.259699091577554,5
6.922288664631815,4.03373748541925,-6.485441248812698,2
4.465774893166906,13.677497856154753,-6.32672801468608,0
6.121386006849863,-7.795209683314527,-3.9333371482388695,3
2.3890033041730927,-4.973544146610505,-1.6254625740957585,7
7.157264675584976,2.9195352438899724,-6.684362007032956,2
6.438300417880484,8.559941199945012,-7.092139312204573,1
5.862800533658632,12.615623839236703,-5.5164660841789726,0
7.54613433064182,3.6422584072131667,-7.383899373971012,2
6.01791222826845,-6.1857096823361,-3.627333254945103,3
6.2637058477499545,8.077369238851826,-8.783759698970075,1
0.4826928687667952,-4.878905416470101,-3.642297398487446,7
-8.780105269411607,-8.787713477221152,-5.724184363614778,5
-9.298782305682765,-8.341738109947077,-6.483149680025277,5
7.2971483608586265,2.9231405952117746,-7.340677161054051,2
4.77157516916454,14.606943176322837,-5.166066633956357,0
7.121735635905811,6.777292385300346,-6.8113504995156084,1
5.908600288620497,6.8666450233197285,-7.552075777293489,1
3.0886976019419055,7.9549537541133954,4.567907611227732,6
-9.314381366576361,-7.3908231085096405,-7.306142747033668,5
6.06995447771901,6.872207889057452,-8.237966732592524,1
-6.346427910664876,6.0120781084724575,8.720962971142265,4
7.200867019537531,3.8194075640974505,-6.462140150143536,2
4.792086225898448,12.331302049281389,-4.254604707979713,0
